household_key,drop_week,dropped_rolling,drop70_holdout,sig_week_1.5,lead_1.5,sig_week_2.0,lead_2.0,sig_week_2.5,lead_2.5
1240,68.0,True,False,51.0,17.0,52.0,16.0,83.0,-15.0
1246,53.0,True,False,56.0,-3.0,56.0,-3.0,56.0,-3.0
1247,,False,False,,,,,,
1248,64.0,True,True,70.0,-6.0,70.0,-6.0,89.0,-25.0
1260,54.0,True,False,56.0,-2.0,72.0,-18.0,,
1263,65.0,True,True,52.0,13.0,54.0,11.0,66.0,-1.0
1264,51.0,True,True,51.0,0.0,,,,
1272,,False,False,52.0,,52.0,,93.0,
1274,82.0,True,False,64.0,18.0,64.0,18.0,,
1277,51.0,True,False,51.0,0.0,61.0,-10.0,70.0,-19.0
1282,69.0,True,False,61.0,8.0,68.0,1.0,84.0,-15.0
1305,67.0,True,True,51.0,16.0,52.0,15.0,52.0,15.0
1312,53.0,True,True,51.0,2.0,51.0,2.0,65.0,-12.0
1314,79.0,True,False,55.0,24.0,56.0,23.0,72.0,7.0
1318,,False,False,54.0,,,,,
1333,,False,False,,,,,,
1336,53.0,True,False,51.0,2.0,53.0,0.0,55.0,-2.0
1337,87.0,True,False,53.0,34.0,64.0,23.0,,
1349,89.0,True,True,58.0,31.0,101.0,-12.0,101.0,-12.0
1352,53.0,True,False,53.0,0.0,54.0,-1.0,55.0,-2.0
1367,,False,False,51.0,,55.0,,,
1370,,False,False,,,,,,
1376,67.0,True,False,51.0,16.0,74.0,-7.0,74.0,-7.0
1378,,False,False,62.0,,,,,
1379,,False,False,54.0,,54.0,,60.0,
1385,66.0,True,False,51.0,15.0,51.0,15.0,51.0,15.0
1388,,False,False,51.0,,75.0,,75.0,
1391,70.0,True,False,64.0,6.0,,,,
1396,51.0,True,True,56.0,-5.0,60.0,-9.0,87.0,-36.0
1419,55.0,True,True,53.0,2.0,53.0,2.0,58.0,-3.0
1430,,False,False,51.0,,,,,
1437,69.0,True,True,53.0,16.0,53.0,16.0,54.0,15.0
1453,,False,False,51.0,,64.0,,75.0,
1461,,False,False,51.0,,51.0,,55.0,
1475,,False,False,51.0,,54.0,,,
1476,78.0,True,False,51.0,27.0,53.0,25.0,53.0,25.0
1479,,False,False,51.0,,52.0,,52.0,
1489,,False,False,,,,,,
1491,68.0,True,False,63.0,5.0,68.0,0.0,68.0,0.0
1501,53.0,True,False,53.0,0.0,,,,
1505,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
1510,,False,False,54.0,,61.0,,,
1515,71.0,True,True,52.0,19.0,77.0,-6.0,88.0,-17.0
1527,67.0,True,False,56.0,11.0,58.0,9.0,58.0,9.0
1528,,False,False,56.0,,57.0,,67.0,
1529,,False,False,55.0,,55.0,,55.0,
1535,,False,False,61.0,,62.0,,,
1536,63.0,True,False,51.0,12.0,52.0,11.0,93.0,-30.0
1541,52.0,True,False,59.0,-7.0,59.0,-7.0,59.0,-7.0
1548,51.0,True,True,51.0,0.0,51.0,0.0,51.0,0.0
