household_key,alert_day,week,high_value
192,396,57,False
193,353,51,False
193,439,63,False
193,467,67,False
193,490,70,False
193,507,73,False
193,548,79,False
194,349,50,False
194,389,56,False
194,403,58,False
194,460,66,False
194,480,69,False
194,496,71,False
194,520,75,False
195,383,55,False
195,417,60,False
195,440,63,False
195,467,67,False
195,517,74,False
195,550,79,False
196,352,51,True
196,425,61,True
196,443,64,True
196,453,65,True
196,464,67,True
196,481,69,True
196,536,77,True
196,557,80,True
197,349,50,False
197,539,77,False
198,353,51,True
198,393,57,True
198,405,58,True
198,412,59,True
198,416,60,True
198,420,60,True
198,425,61,True
198,436,63,True
198,440,63,True
198,447,64,True
198,455,65,True
198,465,67,True
198,473,68,True
198,490,70,True
198,497,71,True
198,510,73,True
198,514,74,True
198,524,75,True
198,538,77,True
198,547,79,True
198,554,80,True
199,349,50,False
199,395,57,False
199,420,60,False
199,445,64,False
199,500,72,False
199,534,77,False
202,364,52,False
202,454,65,False
202,512,74,False
203,349,50,False
203,396,57,False
203,421,61,False
203,471,68,False
203,523,75,False
204,353,51,False
204,413,59,False
204,471,68,False
204,511,73,False
205,478,69,False
205,499,72,False
208,545,78,False
209,396,57,True
209,505,73,True
210,360,52,False
210,428,62,False
210,452,65,False
210,494,71,False
210,504,72,False
210,543,78,False
211,358,52,False
211,393,57,False
211,431,62,False
212,375,54,False
212,392,56,False
212,403,58,False
212,477,69,False
212,538,77,False
215,371,53,False
215,384,55,False
215,455,65,False
215,483,69,False
215,555,80,False
216,349,50,False
216,376,54,False
216,441,63,False
216,494,71,False
217,384,55,False
217,525,75,False
218,401,58,True
218,415,60,True
218,472,68,True
218,507,73,True
218,524,75,True
218,536,77,True
218,553,79,True
219,396,57,True
219,543,78,True
220,376,54,False
220,424,61,False
220,493,71,False
220,532,76,False
222,377,54,True
222,397,57,True
222,448,64,True
222,482,69,True
222,520,75,True
222,555,80,True
223,360,52,False
223,377,54,False
223,397,57,False
223,440,63,False
223,495,71,False
223,520,75,False
223,549,79,False
224,350,50,False
224,464,67,False
224,476,68,False
224,489,70,False
224,501,72,False
224,518,74,False
224,547,79,False
225,363,52,False
225,414,60,False
225,441,63,False
225,482,69,False
225,515,74,False
225,553,79,False
226,353,51,False
226,390,56,False
226,421,61,False
227,361,52,False
228,349,50,False
228,411,59,False
228,434,62,False
230,400,58,False
230,416,60,False
230,441,63,False
232,358,52,True
