household_key,widen_15,widen_20,retention
1248,False,False,0.4270536818427328
1260,True,False,0.8711941544786412
1263,True,False,0.1811238014704966
1264,False,False,0.6067140205513044
1272,False,False,1.0770147003392385
1274,True,False,0.8387753016509573
1277,False,False,0.9661600164072645
1282,False,False,1.0877557544757035
1305,True,True,0.2586061406438245
1312,True,True,0.26339364076330896
1314,True,True,0.8461642812430024
1318,False,False,1.2295343869691988
1333,False,False,1.4063511850575234
1336,True,True,1.1134898044432793
1337,False,False,0.7864930358080714
1349,False,False,0.35496091271225566
1352,False,False,0.7381648463064757
1367,False,False,1.447019958594306
1370,False,False,1.0549369801532593
1376,True,True,0.8566017299835286
1378,False,False,1.2082135756239114
1379,True,True,1.9353266637179811
1385,True,False,0.717661453990407
1388,True,True,0.7205343020527349
1391,False,False,0.8317745924503931
1396,False,False,0.07884870547409248
1419,True,True,0.608744642777293
1430,False,False,0.9821513921461246
1437,True,True,0.6712152683356766
1453,True,True,1.2493832679918382
1461,True,True,1.6353775391013123
1475,False,False,1.2666842017609248
1476,True,True,1.1561595521245895
1479,False,False,1.4949320054553041
1489,False,False,1.1827365367912297
1491,False,False,0.9332402206712966
1501,False,False,1.1279478658041486
1505,False,False,0.6114346723878822
1510,False,False,1.2658854058560998
1515,True,True,0.10468491943781591
1527,False,False,0.9736156051325029
1528,True,False,1.2714355899431908
1529,False,False,0.9089692276101362
1535,False,False,2.047404554456996
1536,False,False,0.9288847868547456
1541,False,False,1.2529277871597846
1548,True,True,0.6539006599984765
1557,False,False,0.45653781017598116
1563,False,False,1.3269045025220443
1579,False,False,1.075243767994948
1584,False,False,1.2035777861892278
1585,False,False,1.7145075537960814
1588,True,False,0.6373739567111728
1590,True,True,1.1715525394559005
1595,True,False,0.5566958638221325
1598,False,False,2.2377929444028917
1602,False,False,0.8259267376549615
1609,False,False,1.075179970091701
1612,True,False,1.1455758864811691
1613,False,False,1.2964249291840102
1620,False,False,1.0147524578646399
1630,False,False,0.9623146758765067
1631,False,False,0.8698622463452017
1633,True,True,1.2827067620445607
1634,True,True,0.6617782210212738
1640,True,True,0.34463816221596844
1653,False,False,1.1419042988546695
1662,True,False,0.8272881985769184
1673,True,True,0.322476651355535
1675,False,False,0.3735025761529655
1677,False,False,0.9651479554361201
1693,False,False,1.3065376757817841
1694,False,False,1.055212000058721
1707,True,True,0.6742135186624407
1710,False,False,0.5757586551295079
1722,False,False,0.47697617385058144
