household_key,median_gap,recent3_mean_gap,open_gap,widening
1634,5.5,7.666666666666667,4,False
1640,3.0,2.6666666666666665,7,False
1653,2.0,1.0,0,False
1662,6.0,8.0,3,False
1673,4.0,9.666666666666666,12,True
1675,6.0,11.0,72,True
1677,3.0,9.333333333333334,1,True
1693,4.0,4.333333333333333,2,False
1694,4.0,7.0,6,True
1707,1.0,1.3333333333333333,0,False
1710,4.5,5.666666666666667,0,False
1722,3.0,5.666666666666667,9,True
1762,2.0,4.333333333333333,0,True
1764,7.0,7.333333333333333,4,False
1767,1.0,5.666666666666667,5,True
1769,4.0,8.666666666666666,0,True
1770,1.0,1.0,1,False
1775,4.0,3.3333333333333335,0,False
1776,2.0,7.0,15,True
1778,4.0,15.0,0,True
1788,5.0,4.666666666666667,0,False
1795,1.0,1.6666666666666667,0,True
1803,3.0,2.3333333333333335,0,False
1804,2.5,4.666666666666667,1,True
1807,2.0,2.3333333333333335,0,False
1822,2.0,24.0,23,True
1823,3.0,2.6666666666666665,1,False
1828,4.0,3.6666666666666665,135,False
1829,2.0,5.333333333333333,4,True
1835,3.0,4.333333333333333,4,False
1845,4.0,2.6666666666666665,1,False
1848,4.0,4.0,4,False
1850,2.0,5.666666666666667,3,True
1852,2.0,16.0,11,True
1854,2.0,2.6666666666666665,4,False
1864,4.0,7.0,2,True
1865,4.0,4.0,13,False
1892,2.0,7.0,4,True
1899,14.0,11.666666666666666,0,False
1900,12.0,10.666666666666666,5,False
1901,1.0,2.6666666666666665,0,True
1906,4.0,4.333333333333333,0,False
1907,2.0,1.6666666666666667,1,False
1917,2.0,4.0,2,True
1935,6.0,7.0,1,False
1943,4.0,2.6666666666666665,0,False
1944,4.0,3.6666666666666665,0,False
1947,4.0,5.666666666666667,2,False
1955,5.0,10.666666666666666,1,True
1971,4.0,9.333333333333334,9,True
1975,2.0,1.6666666666666667,1,False
1985,4.5,3.6666666666666665,0,False
1995,4.5,4.333333333333333,0,False
2004,2.0,5.0,4,True
2007,6.0,4.666666666666667,4,False
2012,4.0,2.0,0,False
2015,5.5,7.333333333333333,0,False
2019,1.0,1.6666666666666667,0,True
2020,2.0,2.6666666666666665,0,False
2022,7.0,4.666666666666667,3,False
2062,2.0,14.333333333333334,14,True
2076,2.5,3.0,0,False
2079,3.0,24.0,7,True
2080,2.0,7.0,18,True
2083,2.0,2.6666666666666665,1,False
2085,2.0,1.6666666666666667,2,False
2087,4.0,4.666666666666667,1,False
2097,4.0,7.666666666666667,60,True
2110,4.0,4.333333333333333,1,False
2115,2.0,4.666666666666667,0,True
2116,3.0,3.0,0,False
2129,5.0,7.0,17,False
2131,3.0,6.333333333333333,23,True
2133,4.0,9.0,0,True
2134,7.0,9.333333333333334,8,False
2142,7.0,5.666666666666667,7,False
2162,7.0,4.666666666666667,2,False
2168,3.0,3.0,4,False
2170,3.0,4.666666666666667,0,True
2184,3.0,4.666666666666667,0,True
2185,7.0,5.333333333333333,1,False
2190,3.0,5.333333333333333,0,True
2193,6.0,3.6666666666666665,2,False
2194,2.0,1.6666666666666667,0,False
2199,4.0,5.0,4,False
2200,5.0,4.0,9,False
2207,2.0,7.0,11,True
2208,3.0,5.333333333333333,7,True
2209,3.0,4.666666666666667,0,True
2226,1.0,6.333333333333333,1,True
2227,2.0,10.666666666666666,55,True
2233,2.0,6.0,9,True
2234,4.0,2.6666666666666665,2,False
2260,6.0,18.666666666666668,3,True
2261,2.0,3.0,0,True
2264,2.0,3.0,1,True
2266,5.0,6.666666666666667,1,False
2277,3.0,16.666666666666668,4,True
2280,4.5,5.333333333333333,2,False
2284,2.0,1.6666666666666667,2,False
2294,2.0,14.333333333333334,23,True
2295,7.0,6.333333333333333,14,False
2296,2.0,3.0,0,True
2301,3.0,10.333333333333334,3,True
2305,5.0,10.333333333333334,1,True
2307,4.0,7.333333333333333,5,True
2312,2.0,1.3333333333333333,0,False
