household_key,base_8w_avg_cats,eval_end_8w_cats,cat_ratio,cat_fire,widen_15,drop70
864,66.48148148148148,83,1.248467966573816,False,False,False
868,50.851851851851855,44,0.8652585579024035,False,True,False
871,92.51851851851852,80,0.8646917534027222,False,False,False
878,81.0,55,0.6790123456790124,True,True,False
882,58.407407407407405,42,0.7190868738110336,False,True,True
883,68.11111111111111,89,1.3066884176182707,False,False,False
886,50.25925925925926,31,0.6168017686072218,True,True,True
888,81.74074074074075,92,1.1255097417308562,False,False,False
889,88.14814814814815,97,1.1004201680672268,False,True,False
891,63.666666666666664,83,1.3036649214659686,False,False,False
895,49.25925925925926,42,0.8526315789473684,False,False,False
898,73.11111111111111,69,0.9437689969604863,False,True,False
900,115.25925925925925,107,0.9283419023136247,False,False,False
906,35.74074074074074,28,0.783419689119171,False,True,True
908,71.0,41,0.5774647887323944,True,True,False
909,104.51851851851852,60,0.5740609496810772,True,True,True
926,68.70370370370371,50,0.7277628032345013,False,False,True
931,59.74074074074074,52,0.87042777433354,False,True,False
932,69.77777777777777,69,0.9888535031847134,False,True,False
934,102.77777777777777,119,1.157837837837838,False,False,False
936,71.55555555555556,73,1.0201863354037266,False,False,False
956,76.77777777777777,74,0.9638205499276412,False,False,False
968,81.11111111111111,99,1.2205479452054795,False,False,False
972,64.92592592592592,23,0.354249857387336,True,False,True
973,73.88888888888889,98,1.3263157894736843,False,False,False
979,87.81481481481481,101,1.150147617039224,False,False,False
982,107.07407407407408,114,1.0646835005188515,False,True,False
998,81.88888888888889,56,0.683853459972863,True,True,True
1020,87.14814814814815,82,0.940926476838079,False,False,False
1023,79.4074074074074,100,1.2593283582089552,False,False,False
1024,61.592592592592595,69,1.1202645820805772,False,False,False
1029,90.11111111111111,93,1.032059186189889,False,False,False
1039,67.07407407407408,60,0.8945334069574821,False,False,False
1040,56.407407407407405,55,0.9750492449113592,False,False,False
1041,55.7037037037037,76,1.3643617021276595,False,False,False
1057,42.81481481481482,41,0.9576124567474048,False,False,False
1074,56.666666666666664,72,1.2705882352941178,False,False,False
1078,85.0,78,0.9176470588235294,False,False,True
1081,95.37037037037037,68,0.7130097087378641,False,True,False
1091,69.62962962962963,12,0.1723404255319149,True,True,True
1097,65.22222222222223,65,0.9965928449744462,False,False,False
1098,67.66666666666667,67,0.9901477832512314,False,False,False
1103,71.48148148148148,41,0.5735751295336787,True,False,True
1111,108.44444444444444,95,0.8760245901639344,False,True,False
1130,76.88888888888889,69,0.8973988439306358,False,True,False
1134,59.2962962962963,74,1.2479700187382885,False,True,False
1139,71.48148148148148,57,0.7974093264248705,False,True,True
1142,91.77777777777777,93,1.013317191283293,False,False,False
1146,72.70370370370371,70,0.9628120224146713,False,False,False
1159,70.14814814814815,48,0.6842661034846884,True,True,True
1166,102.11111111111111,96,0.9401523394994559,False,False,False
1167,66.33333333333333,48,0.7236180904522613,False,True,False
1169,72.14814814814815,50,0.6930184804928131,True,False,False
1175,71.74074074074075,68,0.9478575116159008,False,False,False
1179,72.77777777777777,96,1.3190839694656489,False,False,False
1203,61.51851851851852,74,1.2028898254063818,False,False,False
1206,82.0,58,0.7073170731707317,False,True,True
1211,53.48148148148148,36,0.6731301939058172,True,True,False
1216,77.96296296296296,56,0.7182897862232779,False,False,True
1222,89.22222222222223,62,0.6948941469489415,True,True,True
1226,80.55555555555556,74,0.9186206896551724,False,False,False
1228,87.88888888888889,87,0.9898862199747156,False,False,False
1229,106.11111111111111,89,0.8387434554973822,False,False,False
