household_key,base_visits,base_spend,median_gap,p90_gap,gap_iqr,high_value,churned
1169,46,2307.45,4.0,11.0,5.0,True,False
1171,8,257.17,10.0,67.20000000000003,19.0,False,False
1172,37,987.33,3.0,14.5,6.0,False,False
1174,56,907.4899999999998,2.0,6.600000000000001,3.0,False,False
1175,36,2534.95,7.0,12.800000000000004,5.0,True,False
1178,53,1128.72,4.5,7.0,3.0,False,False
1179,40,2377.4400000000005,5.0,12.200000000000003,5.0,True,False
1180,27,956.61,6.5,15.0,5.75,False,False
1181,27,794.6500000000001,6.0,18.5,9.75,False,False
1182,52,807.76,3.0,10.0,4.0,False,False
1185,10,181.43000000000004,14.0,43.600000000000016,20.0,False,False
1186,14,1136.99,16.0,21.8,11.0,False,False
1187,23,588.3299999999999,3.0,8.900000000000002,5.0,False,False
1188,39,1311.55,5.5,12.300000000000004,4.0,False,False
1189,14,271.82000000000005,5.0,38.80000000000001,12.0,False,False
1190,65,850.41,3.0,7.0,3.0,False,False
1191,32,792.31,5.0,15.0,8.0,False,False
1192,14,175.20000000000005,8.0,20.6,13.0,False,False
1193,74,1768.5400000000002,2.0,6.799999999999997,3.0,False,False
1194,33,724.89,6.5,14.900000000000002,5.0,False,False
1196,8,438.07000000000005,18.0,65.80000000000001,26.5,False,False
1197,31,1693.5800000000006,6.0,19.0,7.75,False,False
1198,21,543.51,9.0,23.500000000000007,10.25,False,False
1201,8,144.79000000000002,22.0,67.4,32.0,False,False
1203,33,2171.0299999999997,6.0,13.900000000000002,8.5,True,False
1204,21,642.6900000000002,7.0,31.400000000000006,11.5,False,False
1205,45,1850.05,4.0,9.700000000000003,4.25,False,False
1206,113,2567.9000000000005,1.0,4.0,1.25,True,False
1207,34,260.06,5.0,12.0,6.0,False,False
1208,10,282.62,4.0,54.4,31.0,False,False
1211,42,2906.3,5.0,10.0,5.0,True,False
1213,12,106.25,6.0,18.0,5.0,False,False
1216,45,2173.77,4.0,9.0,4.0,True,False
1217,13,918.65,16.0,31.9,21.0,False,False
1218,28,1002.2900000000001,7.0,18.200000000000006,8.0,False,False
1219,29,237.25,5.5,12.600000000000001,6.0,False,False
