segment_type,segment_value,promo_group,pair_weeks,products,stores,product_store_pairs,avg_weekly_sales,median_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate,avg_store_sales_share_rate,avg_category_sales_share_rate,none_avg_sales,none_incidence,none_sales_per_visitor,none_buyer_penetration,none_basket_share,none_category_sales_share,raw_sales_lift_vs_none_pct,incidence_diff_pp,sales_per_visitor_lift_pct,buyer_penetration_lift_pct,basket_share_lift_pct,category_sales_share_lift_pct
commodity_top30,CRACKERS/MISC BKD FD,both,4229,51,99,503,0.6233435800425629,0.0,0.2724048238354221,0.31756916528730195,0.03549922095368838,0.01811362743572452,0.010607260668225718,0.000676427501641871,0.08766227697508643,0.47258666666666665,0.28,0.026015757871934775,0.018283903178233904,0.010669260984918862,0.08061028699247423,31.900373838145278,-0.7595176164577944,36.452765006642984,-0.9312877061834923,-0.5811116325749488,8.74825068327889
commodity_top30,DELI MEATS,mailer_only,9125,47,98,612,1.224717808219177,0.0,0.23912328767123286,0.2709041095890411,0.06836008858886314,0.01508332567926622,0.00922577515516006,0.0012587477740122284,0.08742604311048932,,,,,,,,,,,,
commodity_top30,EGGS,display_only,1530,9,93,299,1.183712418300653,0.88,0.5601307189542484,0.9130718954248366,0.06533706102358557,0.050208764369106804,0.030065336585407262,0.0012602583751553618,0.2766314294903103,,,,,,,,,,,,
commodity_top30,EGGS,mailer_only,2181,7,108,384,1.3350618982118296,0.88,0.599266391563503,1.038972948188904,0.08032862783891197,0.0625994597058556,0.0376600151160356,0.0016475820972614592,0.29940087526282805,,,,,,,,,,,,
commodity_top30,EGGS,both,2032,6,103,365,1.9027755905511807,1.29,0.7613188976377953,1.5418307086614174,0.11090419429224868,0.08999326543168666,0.05410359520630158,0.0022405748994086417,0.42321763573731025,,,,,,,,,,,,
commodity_top30,FLUID MILK PRODUCTS,display_only,5292,29,58,279,2.8896579743008273,1.99,0.5260770975056689,0.9143990929705216,0.15053711720121984,0.04752957677863131,0.0290081215768442,0.002747837052985185,0.11025178146775302,,,,,,,,,,,,
commodity_top30,FLUID MILK PRODUCTS,mailer_only,18874,39,108,1073,2.79571950831832,1.67,0.6324573487337077,1.1635583342163822,0.1682858739377582,0.06953635681672707,0.04433472143258332,0.0033546284750588184,0.11729889350373686,,,,,,,,,,,,
commodity_top30,FLUID MILK PRODUCTS,both,1831,19,56,258,3.2088530857454973,2.0,0.6799563080283998,1.2949208083014747,0.1757356082967645,0.07197696359241253,0.043879523224326755,0.0033882342613600694,0.13401877492321337,,,,,,,,,,,,
commodity_top30,FROZEN PIZZA,display_only,5903,109,93,538,0.657799424021684,0.0,0.1834660342198882,0.19752668134846688,0.03844483897721128,0.011525495419386656,0.0067641470413398064,0.0007040159371664001,0.0393387362427672,,,,,,,,,,,,
commodity_top30,FROZEN PIZZA,mailer_only,5460,135,96,678,0.7326318681318679,0.0,0.2108058608058608,0.22142857142857142,0.04117087186691995,0.012415980903723638,0.00734541176919263,0.0008015912372285937,0.03939859877455258,,,,,,,,,,,,
