WEEK_NO,promo_group,pair_weeks,products,stores,total_sales,avg_weekly_sales,sales_incidence_rate,avg_buyer_count,avg_sales_per_visitor,avg_buyer_penetration_rate,avg_basket_share_rate
48,none,159,77,42,56.71,0.3566666666666667,0.24528301886792453,0.27044025157232704,0.016538584674784494,0.013538479310471918,0.008325234926353486
48,display_only,2375,698,85,1632.3100000000006,0.6872884210526319,0.21178947368421053,0.2673684210526316,0.03890601798190474,0.01513276063904095,0.009137447138036058
48,mailer_only,2878,470,89,2795.3099999999995,0.9712682418346071,0.26094510076441974,0.3033356497567755,0.055407090642507456,0.016601884055145216,0.010236212538905502
48,both,1434,212,84,1716.3299999999997,1.1968828451882843,0.296373779637378,0.3807531380753138,0.07159252554088284,0.022513258808921893,0.01398327846046992
49,none,169,82,40,71.81,0.4249112426035503,0.24260355029585798,0.27218934911242604,0.02191140972157523,0.014074403197108204,0.008002034232492078
49,display_only,2217,657,83,1526.4900000000002,0.6885385656292288,0.22868741542625168,0.2647722147045557,0.03986140640629533,0.015090688261382344,0.0089201289387696
49,mailer_only,4164,525,84,4304.920000000001,1.0338424591738715,0.30643611911623436,0.4243515850144092,0.05741114249988183,0.023740420728008374,0.014860626689589634
49,both,1721,268,83,1505.1100000000001,0.8745554909936084,0.35037768739105174,0.4491574665891923,0.04783360228973516,0.024523507041945863,0.014975352094659127
50,none,124,57,39,82.67999999999999,0.6667741935483871,0.29838709677419356,0.33064516129032256,0.031232314433045985,0.015710898784983284,0.00975251087744596
50,display_only,2522,694,84,1872.1400000000006,0.7423235527359241,0.23711340206185566,0.28786677240285485,0.041343844946382574,0.0161056746040589,0.009927696727536683
50,mailer_only,3011,533,86,3473.4299999999994,1.153580205911657,0.28894055131185653,0.356360013284623,0.06376567385689492,0.019440033902277862,0.012002339981696981
50,both,1179,214,83,1753.3199999999995,1.4871246819338417,0.3748939779474131,0.5063613231552163,0.08314577983303909,0.02846368546074314,0.017847746201159413
51,none,158,73,42,75.9,0.4803797468354431,0.21518987341772153,0.23417721518987342,0.023055700531304287,0.011784959888836932,0.006888085491950705
51,display_only,2100,711,85,1627.6999999999998,0.7750952380952381,0.23857142857142857,0.2785714285714286,0.04505976876009079,0.016517857977731202,0.00978929228498583
51,mailer_only,3976,519,85,4481.700000000001,1.127188128772636,0.29728370221327965,0.4074446680080483,0.06581837959532322,0.023521381221522135,0.014214006742876812
51,both,1594,242,84,1523.7499999999995,0.9559284818067751,0.3136762860727729,0.41468005018820575,0.05487105305896467,0.023837564073052746,0.013970683034777593
52,none,186,88,43,114.14999999999998,0.6137096774193547,0.25268817204301075,0.3010752688172043,0.03063143407472265,0.015248061374762206,0.009122738922209444
52,display_only,2329,709,82,1729.8500000000001,0.7427436668097896,0.2421640188922284,0.3044224989265779,0.04102927939511691,0.017310201857818387,0.010641652272746077
52,mailer_only,2554,472,85,3250.9399999999996,1.2728817541111979,0.3163664839467502,0.4068128425998434,0.07191546308887255,0.02297585071667696,0.013405757619192472
52,both,1370,197,82,2171.6899999999996,1.5851751824817515,0.34817518248175183,0.45985401459854014,0.09216773949352518,0.025892886126411573,0.01586424117836539
53,none,164,79,44,109.98000000000002,0.6706097560975611,0.29878048780487804,0.3902439024390244,0.03606882177840312,0.020725890476614134,0.012457353007088563
53,display_only,2270,631,81,1522.7200000000007,0.6708017621145378,0.23832599118942732,0.2806167400881057,0.040312668615780714,0.01670311523312181,0.010105196519833378
53,mailer_only,4297,655,83,4515.620000000001,1.0508773562950897,0.3057947405166395,0.41866418431463814,0.06187905936542343,0.024303657792493154,0.01549218449960501
53,both,1443,276,81,1049.29,0.7271586971586972,0.2910602910602911,0.35343035343035345,0.04267154331450936,0.02091396019638916,0.012833828030920438
54,none,129,78,35,85.34,0.6615503875968992,0.3023255813953488,0.3488372093023256,0.03338206097657436,0.01813399787554566,0.010500744651883808
54,display_only,2115,672,81,1569.1100000000001,0.7418959810874705,0.24397163120567375,0.3011820330969267,0.03930452128013976,0.016206475566387768,0.009614099626356749
54,mailer_only,3011,514,81,3589.6100000000015,1.1921653935569583,0.2783128528727997,0.34573231484556627,0.06566183339421684,0.019150114754021026,0.011393591349540077
54,both,1506,219,80,1334.869999999999,0.8863678618857895,0.3280212483399734,0.41301460823373176,0.048950635678096516,0.023104870736002613,0.013588339380817611
55,none,112,84,32,81.10000000000001,0.724107142857143,0.30357142857142855,0.3392857142857143,0.03638384606784755,0.01746987289975044,0.009173284133281376
55,display_only,2275,689,87,1502.4500000000007,0.6604175824175827,0.22285714285714286,0.2672527472527473,0.038876180327450875,0.01585556908319462,0.009564590610616203
55,mailer_only,3893,518,87,4488.420000000001,1.152946313896738,0.33341895710249164,0.46442332391471874,0.06686499364103174,0.02670014381171198,0.01616041326781205
55,both,1430,231,87,1579.3899999999999,1.1044685314685314,0.34895104895104895,0.4699300699300699,0.06703241871514481,0.027808902213587287,0.016844899774467972
56,none,106,68,30,55.66,0.5250943396226415,0.29245283018867924,0.33962264150943394,0.03187921404522155,0.020004765679244384,0.009857950729882433
56,display_only,2072,662,85,1599.8100000000002,0.7721090733590734,0.22152509652509653,0.26496138996138996,0.04203880742095095,0.014783664685446313,0.008958866763451274
56,mailer_only,3083,510,89,2560.0199999999995,0.8303665261109308,0.2510541680181641,0.3068439831333117,0.04648512417002089,0.017331231645920674,0.010442534338865708
56,both,1798,222,85,2658.779999999999,1.4787430478309227,0.3870967741935484,0.5367074527252503,0.08534816626380548,0.030824521630605648,0.019462761841857308
57,none,145,60,45,80.59,0.5557931034482759,0.2689655172413793,0.33793103448275863,0.029033577862515196,0.01725233919739391,0.009130454736061574
57,display_only,2308,692,80,1541.0200000000002,0.6676863084922011,0.20883882149046792,0.2391681109185442,0.03850121841179426,0.013831540525528936,0.007914136051989802
57,mailer_only,4477,459,80,3591.8099999999977,0.8022805450078172,0.2642394460576279,0.3334822425731517,0.04709870963414781,0.019377097242151517,0.011221762471166897
57,both,1527,223,79,1338.8699999999994,0.876797642436149,0.3333333333333333,0.44335297969875576,0.0480039619029255,0.024837098620091362,0.014642223333962371
58,none,217,62,49,123.38,0.5685714285714285,0.2534562211981567,0.28110599078341014,0.030024029500686042,0.014924187488193007,0.008827826998341757
58,display_only,2299,664,82,1560.19,0.6786385384949979,0.2192257503262288,0.25793823401478905,0.03707629449413565,0.01457386831582979,0.008830489211088175
58,mailer_only,4531,650,82,3219.8099999999995,0.7106179651291105,0.2491723681306555,0.3098653718825866,0.04061697205056699,0.01740671310279151,0.010686562168594996
58,both,1711,292,82,1432.7399999999998,0.8373699590882524,0.3337229690239626,0.4102863822326125,0.04984646664995194,0.02403267809777681,0.014579512602325382
59,none,423,88,57,229.85000000000002,0.5433806146572104,0.28368794326241137,0.33569739952718675,0.028468453632022606,0.017517413626875068,0.010156921554468146
59,display_only,2672,768,91,2025.1099999999997,0.7579004491017963,0.25,0.29229041916167664,0.04127064527525366,0.0166276524253902,0.010046125382689224
59,mailer_only,3150,417,91,4286.489999999998,1.3607904761904754,0.3368253968253968,0.4812698412698413,0.07495237672498406,0.026244614826751507,0.01639750327858015
59,both,1184,189,91,1330.2999999999993,1.1235641891891885,0.37246621621621623,0.5253378378378378,0.06078263715590779,0.02887320708071261,0.017539196180803053
60,none,318,73,51,153.98999999999998,0.4842452830188679,0.19811320754716982,0.24213836477987422,0.025128380847317135,0.012131502314437879,0.007203524829899455
60,display_only,2462,744,83,1833.25,0.7446181965881398,0.23436230706742486,0.2867587327376117,0.038606190568220754,0.015681563749156833,0.009220853249367887
60,mailer_only,2677,470,85,4275.51,1.5971273813970863,0.307807246918192,0.47777362719462085,0.08637070441967179,0.025603151970262257,0.015428641852716876
