WEEK_NO,households,avg_any_feature_exposure,avg_feature_mailer_exposure,avg_display_exposure,avg_both_exposure,avg_coupon_mailer_exposure,avg_free_mailer_exposure
77,1099,0.4009394877239226,0.3498708793623992,0.11072935770582257,0.059660749344299,0.0,8.320975821960435e-05
78,1099,0.18119843683226533,0.0860693849764647,0.10918837999521548,0.014059328139414866,0.0,0.0
79,1099,0.23981962246412444,0.15908361684766692,0.10771849255812076,0.0269824869416627,0.0,0.0
80,1099,0.25734169415894237,0.19693539500173435,0.11170980385015324,0.051303504692945055,0.0,0.0
81,1099,0.23537511899420924,0.15266329660153544,0.10898059959709046,0.026268777204416276,0.0,0.016517874161805352
82,1099,0.21460974317779483,0.13601804012699817,0.09833654725722457,0.01974484420642778,0.0,0.016664653499861907
83,1099,0.2345090756775265,0.1565903581186899,0.11071237195810509,0.03279365439926829,0.0,0.0
84,1099,0.17921622314389,0.1038763784178976,0.1025943581806817,0.02725451345468894,0.0,0.0
85,1099,0.22285941696361056,0.17094645051218113,0.09153138737717875,0.03961842092574922,0.0,0.0
86,1099,0.2220017584225861,0.17287256093550968,0.08931272199407678,0.04018352450700012,0.0,0.0027266520399809677
87,1099,0.15597904083744948,0.09352835645173568,0.08246457473444774,0.020013890348733705,0.007300843685099297,1.6248537631613153e-05
88,1099,0.14039856050969549,0.0802305896141909,0.08480377277589289,0.024635801880388282,0.0,1.6248537631613153e-05
89,1099,0.20443141795780478,0.15800102450867315,0.08159763181246857,0.03516723836333687,0.0,0.0
90,1099,0.20162871453365042,0.13233425256618064,0.08717591034490084,0.01788144837743109,0.0,0.0201552735167505
91,1099,0.24389358009741444,0.19059905800147364,0.08844005826982841,0.03514553617388709,0.0,0.0655946044579865
92,1099,0.16525758782396036,0.10546240419798979,0.08673755265999177,0.026942369034021245,0.023874427630819484,0.0
93,1099,0.20462639395180346,0.14666807437341675,0.10247552060227182,0.04451720102388516,0.0,0.0
94,1099,0.32039095131434736,0.26889452221707033,0.09808859142137397,0.04659216232409606,0.0,0.0010173891104484846
95,1099,0.21599680719256673,0.16347579693450537,0.10656881093670864,0.05404780067864691,0.0,0.0010173891104484846
96,1099,0.26018577618759625,0.18344005664933224,0.10140831687212715,0.02466259733386281,0.0,0.0
97,1099,0.23348668644503087,0.1608468024738194,0.10908110536761616,0.036441221396404565,0.0,0.0
98,1099,0.25502365577199826,0.1983744668843446,0.11756061833181808,0.06091142944416473,0.0006652709456525664,0.0
99,1099,0.22158310619976687,0.14790452275907115,0.0971690568346528,0.023490473393956744,0.0,0.0013969393855086322
100,1099,0.22136209977479057,0.1601938285470034,0.08812216895275851,0.026953897724971074,0.0,0.0
101,1099,0.2327947867527677,0.18363156538136294,0.10364783279712715,0.05448461142572218,0.0,0.0
