household_key,is_candidate_analysis,is_primary_analysis,is_primary_eligible1_analysis,is_primary_all_weeks_analysis,is_primary_no_history_filter_analysis,is_home70_analysis,first_observed_week,baseline_baskets,n_baseline_purchase_weeks,baseline_weekly_visit_rate,home_store_id,baseline_home_store_share,outcome_home_store_share,n_eligible_products,n_eligible_products_all_weeks,n_repeated_products_no_history_filter,original_top20_baskets,eligible_original_top20_baskets,excluded_weight_share
1456,1,0,0,0,0,0,17,17,7,0.7,31642,1.0,0.9803921568627451,18,19,20,57,40,0.29824561403508776
1458,1,0,0,0,0,0,14,18,10,0.7692307692307693,292,0.2777777777777778,0.2777777777777778,9,10,12,37,21,0.43243243243243246
1460,1,1,1,1,1,1,11,10,8,0.5,330,0.9,0.9574468085106383,9,10,13,38,23,0.39473684210526316
1461,1,1,1,1,1,1,5,80,22,1.0,316,0.725,0.5922330097087378,13,14,18,91,53,0.41758241758241754
1462,1,1,1,1,1,1,13,19,12,0.8571428571428571,31862,0.9473684210526315,0.9603960396039604,20,20,20,71,41,0.4225352112676056
1463,1,0,0,0,0,0,5,48,20,0.9090909090909091,372,0.3541666666666667,0.4,19,20,20,80,58,0.275
1464,1,0,0,0,0,0,13,12,9,0.6428571428571429,295,0.3333333333333333,0.12698412698412698,12,12,14,39,29,0.2564102564102564
1465,1,1,1,1,1,1,4,18,14,0.6086956521739131,391,0.9444444444444444,0.8421052631578947,5,6,9,34,12,0.6470588235294117
1467,1,0,0,0,0,0,2,5,5,0.2,362,0.8,0.015815085158150853,2,3,3,24,5,0.7916666666666666
1468,1,1,1,1,1,1,7,34,18,0.9,403,0.8235294117647058,0.7111111111111111,20,20,20,122,75,0.38524590163934425
1469,1,0,0,0,0,0,4,5,5,0.21739130434782608,364,1.0,0.9230769230769231,2,3,4,24,4,0.8333333333333334
1470,1,0,1,0,0,0,16,12,8,0.7272727272727273,31782,0.75,0.20833333333333334,3,3,4,24,6,0.75
1473,1,0,0,0,0,0,16,10,7,0.6363636363636364,374,1.0,0.8962264150943396,9,13,18,39,19,0.5128205128205128
1475,1,1,1,1,1,0,16,47,11,1.0,361,0.6595744680851063,0.627177700348432,20,20,20,120,105,0.125
1476,1,0,0,0,0,0,6,66,16,0.7619047619047619,412,0.3939393939393939,0.36713286713286714,20,20,20,131,94,0.2824427480916031
1479,1,1,1,1,1,1,4,146,23,1.0,410,1.0,0.8690265486725663,20,20,20,160,69,0.56875
1481,1,0,0,0,0,0,13,9,7,0.5,355,0.8888888888888888,0.058823529411764705,2,3,3,25,4,0.84
1482,1,0,0,0,0,0,6,7,6,0.2857142857142857,292,1.0,0.18181818181818182,20,20,20,59,38,0.35593220338983056
1483,1,1,1,1,1,1,1,23,15,0.5769230769230769,370,0.9565217391304348,0.9659090909090909,20,20,20,51,41,0.196078431372549
1484,1,0,0,0,0,0,16,7,6,0.5454545454545454,424,0.8571428571428571,0.41836734693877553,14,19,20,50,32,0.36
1485,1,1,1,1,1,1,4,17,14,0.6086956521739131,32004,0.8823529411764706,0.8367346938775511,14,17,20,52,34,0.34615384615384615
1487,1,0,0,0,0,0,16,8,1,0.09090909090909091,433,1.0,0.06666666666666667,1,1,1,21,2,0.9047619047619048
1489,1,1,1,1,1,1,10,57,15,0.8823529411764706,432,0.8421052631578947,0.9665271966527197,20,20,20,128,118,0.078125
1490,1,1,1,1,1,1,1,41,22,0.8461538461538461,367,0.8048780487804879,0.7090909090909091,20,20,20,78,46,0.41025641025641024
1491,1,1,1,1,1,1,12,54,15,1.0,296,1.0,0.9913793103448276,20,20,20,134,110,0.17910447761194026
1492,1,0,1,1,1,0,3,17,14,0.5833333333333334,401,1.0,0.922077922077922,4,5,7,31,9,0.7096774193548387
1494,1,1,1,1,1,1,11,13,8,0.5,313,0.9230769230769231,0.9722222222222222,15,20,20,54,27,0.5
1495,1,1,1,1,1,0,12,33,15,1.0,31642,0.5454545454545454,0.7727272727272727,7,14,20,55,11,0.8
1496,1,0,0,0,0,0,15,5,4,0.3333333333333333,311,0.8,0.42857142857142855,10,14,18,39,21,0.46153846153846156
1498,1,0,0,0,0,0,12,7,7,0.4666666666666667,443,1.0,1.0,7,9,9,34,19,0.4411764705882353
1499,1,0,0,0,0,0,16,14,6,0.5454545454545454,304,0.6428571428571429,0.75,4,5,7,30,11,0.6333333333333333
1500,1,0,0,0,0,0,17,13,7,0.7,365,0.7692307692307693,0.04878048780487805,3,3,6,32,12,0.625
1501,1,0,0,0,0,0,14,13,8,0.6153846153846154,356,0.38461538461538464,0.0,20,20,20,64,36,0.4375
1502,1,1,1,1,1,0,5,17,13,0.5909090909090909,338,0.5294117647058824,0.7931034482758621,20,20,20,52,37,0.28846153846153844
