household_key,first_day,category_diversity,department_diversity,initial_baskets,initial_active_days,initial_sales,followup_baskets,followup_active_days,followup_sales,returned,z_category_diversity,z_initial_baskets,z_initial_sales,z_first_day,diversity_group
123,82,37,9,14,12,254.61999999999995,29,20,605.2199999999999,1,0.37948994121536994,1.4528438539903603,0.8054580902336425,0.43779973142555334,Q3
124,62,19,6,6,5,129.86999999999998,9,8,114.06,1,-0.45198675317088294,0.3608792935514903,0.23750283963809535,-0.09934752350004453,Q2
125,12,78,14,15,14,525.0200000000002,28,17,712.3300000000002,1,2.2734090784285015,1.5453121315413032,1.4176627294474213,-1.4422156608140393,Q4
126,88,6,1,1,1,37.410000000000004,4,2,95.35,1,-1.05249769911651,-1.434030658435868,-0.802469886803005,0.5989439079032327,Q1
127,96,5,1,1,1,17.42,3,2,22.410000000000004,1,-1.0986908488046352,-1.434030658435868,-1.425901114163149,0.8138028098734719,Q1
128,19,25,5,2,2,95.49000000000001,0,0,0.0,0,-0.17482785504213197,-0.8530960554590038,-0.021042586925022002,-1.25421412159008,Q2
129,115,13,3,2,2,28.48999999999999,2,2,24.979999999999997,1,-0.7291456512996339,-0.8530960554590038,-1.0266587081455312,1.32409270205279,Q2
130,26,30,6,4,3,156.77000000000004,5,5,188.85999999999999,1,0.05613789339849383,-0.12120501231222784,0.39608689047682955,-1.0662125823661208,Q3
131,25,59,14,37,20,445.49000000000007,70,37,944.23,1,1.3957392343541235,2.784646744738732,1.2786003996487796,-1.0930699451124006,Q4
132,36,9,5,1,1,29.4,11,11,393.92,1,-0.9139182500521346,-1.434030658435868,-1.0008763792030149,-0.7976389549033218,Q1
133,103,18,6,3,3,115.87999999999998,9,8,527.0700000000002,1,-0.4981799028590081,-0.44091639511014435,0.14159194629014352,1.001804349097431,Q2
134,35,50,8,7,4,320.3600000000001,8,6,457.7900000000001,1,0.9800008871609971,0.5521978682155793,0.9996184456581629,-0.8244963176496016,Q4
135,74,17,6,4,4,46.86,7,7,73.09,1,-0.5443730525471333,-0.12120501231222784,-0.6158663897722716,0.2229408294553142,Q2
136,110,14,4,3,3,47.730000000000004,9,9,493.49,1,-0.6829525016115088,-0.44091639511014435,-0.6005836762721777,1.1898058883213904,Q2
137,100,29,7,3,3,114.42999999999999,6,6,262.4000000000001,1,0.00994474371036867,-0.44091639511014435,0.13100166788318374,0.9212322608585914,Q3
138,71,12,4,2,2,83.2,4,4,227.74999999999997,1,-0.7753388009877591,-0.8530960554590038,-0.13662466000989895,0.14236874121647453,Q2
139,75,1,1,2,1,24.749999999999996,5,4,206.58999999999997,1,-1.2834634475571358,-0.8530960554590038,-1.1417081411854646,0.2497981922015941,Q1
140,38,24,4,31,21,150.78,42,24,388.85999999999984,1,-0.22102100473025715,2.5384263948670274,0.3632507677739536,-0.743924229410762,Q2
141,47,3,3,2,2,21.259999999999998,3,3,16.87,1,-1.1910771481808855,-0.8530960554590038,-1.2652636459278224,-0.5022079646942429,Q1
142,18,24,4,8,7,134.76,19,19,259.21,1,-0.22102100473025715,0.7209528108435844,0.2686235990540106,-1.28107148433636,Q2
143,98,37,7,8,7,200.86000000000007,33,20,451.2600000000001,1,0.37948994121536994,0.7209528108435844,0.6051493194768249,0.8675175353660317,Q3
144,95,8,2,1,1,34.7,13,10,298.63,1,-0.9601113997402597,-1.434030658435868,-0.8645407527696485,0.7869454471271919,Q1
145,65,13,6,4,3,46.54999999999999,2,2,44.75,1,-0.7291456512996339,-0.12120501231222784,-0.6213791736440512,-0.018775435261204846,Q2
146,27,14,5,3,3,48.730000000000004,3,3,39.11,1,-0.6829525016115088,-0.44091639511014435,-0.5833508407798145,-1.0393552196198408,Q2
147,64,30,7,3,3,123.98,7,7,344.19,1,0.05613789339849383,-0.44091639511014435,0.19843600235198064,-0.04563279800748474,Q3
148,93,13,5,5,5,50.30000000000001,9,7,154.02999999999997,1,-0.7291456512996339,0.14001820786671987,-0.5569823118077843,0.7332307216346322,Q2
149,42,63,9,7,7,493.97000000000025,14,11,853.0700000000002,1,1.5805118331066241,0.5521978682155793,1.3660477571793714,-0.6364947784256424,Q4
150,85,5,2,1,1,27.78,1,1,174.37000000000003,1,-1.0986908488046352,-1.434030658435868,-1.0473332771497075,0.518371819664393,Q1
151,116,17,4,7,5,58.06000000000001,13,12,396.9000000000002,1,-0.5443730525471333,0.5521978682155793,-0.4374820214288852,1.3509500647990698,Q2
152,38,30,6,3,3,152.74,3,3,128.72999999999996,1,0.05613789339849383,-0.44091639511014435,0.3741356572622914,-0.743924229410762,Q3
153,77,30,7,8,8,100.26,14,10,168.54000000000002,1,0.05613789339849383,0.7209528108435844,0.01989175172828406,0.3035129176941539,Q3
154,112,26,4,4,2,123.15999999999997,13,12,316.58000000000004,1,-0.1286347053540068,-0.12120501231222784,0.1928516398712675,1.2435206138139503,Q3
155,110,34,8,5,4,245.0600000000001,9,7,220.16999999999996,1,0.24091049215099447,0.14001820786671987,0.7731221628173423,1.1898058883213904,Q3
156,115,87,14,48,17,574.0300000000002,102,51,1176.8000000000006,1,2.689147425621628,3.1489035088645725,1.4932356791893866,1.32409270205279,Q4
157,26,32,7,10,9,115.07,9,8,128.19,1,0.14852419277474416,1.0084659617071041,0.13569230380483926,-1.0662125823661208,Q3
158,115,25,6,10,8,98.41000000000001,18,17,207.20000000000002,1,-0.17482785504213197,1.0084659617071041,0.004249357676194673,1.32409270205279,Q2
159,78,18,5,3,2,47.65,9,9,208.56,1,-0.4981799028590081,-0.44091639511014435,-0.6019775452567184,0.33037028044043376,Q2
160,71,23,8,5,4,92.66,2,2,91.05000000000001,1,-0.2672141544183823,0.14001820786671987,-0.046296217020764044,0.14236874121647453,Q2
161,101,47,6,15,12,532.23,23,19,474.60999999999996,1,0.8414214380966216,1.5453121315413032,1.429211749605686,0.9480896236048714,Q4
162,25,17,3,3,3,101.43000000000002,9,7,362.01,1,-0.5443730525471333,-0.44091639511014435,0.02963766562279465,-1.0930699451124006,Q2
163,64,14,5,4,3,36.220000000000006,2,1,35.07000000000001,1,-0.6829525016115088,-0.12120501231222784,-0.8291686009153416,-0.04563279800748474,Q2
164,116,22,7,6,6,82.22,11,8,309.92999999999995,1,-0.31340730410650747,0.3608792935514903,-0.14655639993439198,1.3509500647990698,Q2
165,47,24,6,5,5,161.85000000000005,23,17,410.9800000000001,1,-0.22102100473025715,0.14001820786671987,0.4229719553384654,-0.5022079646942429,Q2
