PRODUCT_ID,STORE_ID,comparison,reference_state,comparison_state,reference_weeks,comparison_weeks,min_state_weeks,reference_spv,comparison_spv,reference_bpr,comparison_bpr,reference_basket_share,comparison_basket_share,reference_category_share,comparison_category_share,spv_difference,bpr_difference,basket_share_difference,category_share_difference,is_positive_spv,is_positive_bpr
822407,443,both_vs_additive,display+mailer-none,both,4,6,4,0.018218623481781382,0.011111111111111112,0.006072874493927127,0.011111111111111112,0.0038363171355498722,0.008333333333333333,-0.006630162290539643,0.015446400988569664,-0.00710751237067027,0.005038236617183984,0.004497016197783461,0.022076563279109306,0,1
822407,31782,both_vs_additive,display+mailer-none,both,9,6,6,0.06867972856572072,0.04363636363636364,0.03497899121509779,0.029393939393939392,0.01440043339514896,0.01316346910367367,0.05271663838819203,0.08418662102286345,-0.025043364929357076,-0.005585051821158395,-0.0012369642914752902,0.03146998263467142,0,0
822407,31862,both_vs_additive,display+mailer-none,both,1,11,1,-0.06790595414367119,0.048765597147950084,-0.03573473325256876,0.014483065953654188,-0.015048066597172791,0.006511282938344249,0.12857662787730206,0.07723557965130999,0.11667155129162127,0.05021779920622295,0.02155934953551704,-0.05134104822599207,1,1
823709,367,both_vs_additive,display+mailer-none,both,2,1,1,0.0236708457940342,0.0,0.013005959227491318,0.0,0.008509275411480048,0.0,0.2842362678705794,0.0,-0.0236708457940342,-0.013005959227491318,-0.008509275411480048,-0.2842362678705794,0,0
824305,367,both_vs_additive,display+mailer-none,both,2,2,2,-0.015494568796266556,0.08888888888888889,-0.004931886359434298,0.044444444444444446,-0.0026385727973595274,0.019230769230769232,-0.0148259045752187,0.117820324005891,0.10438345768515545,0.049376330803878744,0.02186934202812876,0.1326462285811097,1,1
824311,288,both_vs_additive,display+mailer-none,both,2,4,2,0.0676121212121212,0.0,0.020378787878787885,0.0,0.0071516718575542135,0.0,0.0891577240835106,0.0,-0.0676121212121212,-0.020378787878787885,-0.0071516718575542135,-0.0891577240835106,0,0
824311,381,both_vs_additive,display+mailer-none,both,1,1,1,-0.12437417654808959,0.0,-0.03741765480895916,0.0,-0.01656948953823954,0.0,-0.08301253171718016,,0.12437417654808959,0.03741765480895916,0.01656948953823954,,1,1
826249,298,both_vs_additive,display+mailer-none,both,1,9,1,0.004212621623660706,0.059588738059326296,-0.004374872418603071,0.06024324259618377,-0.0019803164529603456,0.027568051549375826,0.0007980854589191705,0.0708985354983128,0.05537611643566559,0.06461811501478684,0.02954836800233617,0.07010045003939364,1,1
826249,319,both_vs_additive,display+mailer-none,both,2,12,2,-0.029365973761909463,0.05192909713743047,0.02801958347284214,0.0491694840653174,0.010144233772195758,0.02455578684797966,-0.07402464144896913,0.0481214661132475,0.08129507089933993,0.021149900592475256,0.0144115530757839,0.12214610756221664,1,1
826249,329,both_vs_additive,display+mailer-none,both,2,24,2,0.04179492290797438,0.06096100876247934,0.044007891618185725,0.05394948189065835,0.018604152156163036,0.02619300509909384,0.037760419506019355,0.06464576692324518,0.01916608585450496,0.009941590272472628,0.007588852942930803,0.026885347417225827,1,1
