household_key,comparison,preferred_products,total_preference_weight,profiled_products,profiled_weight,multistore_profiled_products,multistore_profiled_weight,sales_positive_weight,penetration_positive_weight,any_positive_weight,joint_positive_weight,home_store_profiled_products,home_store_profiled_weight,home_store_sales_positive_weight,home_store_penetration_positive_weight,weighted_median_spv_difference,weighted_median_bpr_difference
1099,mailer_only_vs_none,10,1.0,2,0.20588235294117646,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1102,both_vs_additive,20,1.0,4,0.1864406779661017,3,0.13559322033898305,0.1016949152542373,0.1016949152542373,0.1016949152542373,0.1016949152542373,0,0.0,0.0,0.0,0.033813791483417614,0.01680767093852444
1102,both_vs_none,20,1.0,4,0.1864406779661017,3,0.13559322033898305,0.06779661016949153,0.06779661016949153,0.06779661016949153,0.06779661016949153,0,0.0,0.0,0.0,0.0076500935288388965,0.007671918553826405
1102,display_only_vs_none,20,1.0,5,0.23728813559322032,3,0.13559322033898305,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.013652566540930316,-0.00629916448546431
1102,mailer_only_vs_none,20,1.0,5,0.23728813559322032,3,0.13559322033898305,0.0,0.03389830508474576,0.03389830508474576,0.0,0,0.0,0.0,0.0,-0.0049630052820753105,-3.540896201745983e-05
1103,both_vs_additive,17,0.9999999999999998,2,0.19607843137254902,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1103,both_vs_none,17,0.9999999999999998,2,0.19607843137254902,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1103,display_only_vs_none,17,0.9999999999999998,2,0.19607843137254902,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1103,mailer_only_vs_none,17,0.9999999999999998,2,0.19607843137254902,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1104,both_vs_additive,6,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1104,both_vs_none,6,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1104,display_only_vs_none,6,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1104,mailer_only_vs_none,6,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1109,both_vs_additive,20,1.0,2,0.0847457627118644,1,0.05084745762711865,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.023612947898662175,-0.00957896012344794
1109,both_vs_none,20,1.0,3,0.1694915254237288,1,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0,0.0,0.0,0.0,0.026007186228974785,0.009469598227809288
1109,display_only_vs_none,20,1.0,3,0.11864406779661016,1,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0.05084745762711865,0,0.0,0.0,0.0,0.023663491405246012,0.006562415625883111
1109,mailer_only_vs_none,20,1.0,6,0.3389830508474576,2,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.0847457627118644,0.0847457627118644,0,0.0,0.0,0.0,0.018315692129954028,0.020793933618711846
1111,both_vs_additive,20,0.9999999999999996,1,0.13636363636363635,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1111,both_vs_none,20,0.9999999999999996,1,0.13636363636363635,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1111,display_only_vs_none,20,0.9999999999999996,2,0.17424242424242423,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1111,mailer_only_vs_none,20,0.9999999999999996,3,0.2121212121212121,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,
1112,both_vs_additive,6,1.0,1,0.15384615384615385,1,0.15384615384615385,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-0.009428287658487113,-6.331144583812676e-05
1112,both_vs_none,6,1.0,1,0.15384615384615385,1,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0,0.0,0.0,0.0,0.046018653838346926,0.017053027445988855
