household_key,sales,baskets,active_weeks,products,category_diversity,first_day,last_day,discount_amount,avg_basket_value
316,1037.7800000000002,53,34,330,96,69,711,198.63,19.580754716981136
317,6083.300000000003,61,53,906,160,34,710,996.02,99.72622950819677
318,1242.25,92,58,244,88,68,711,176.97,13.502717391304348
319,3758.5000000000014,109,64,853,152,24,690,836.1799999999998,34.4816513761468
320,497.40999999999997,19,16,135,69,88,689,58.87,26.179473684210524
321,5935.660000000004,106,67,816,156,60,690,1296.4299999999998,55.99679245283023
322,2418.8800000000006,71,41,680,149,103,708,336.39,34.06873239436621
323,156.98999999999998,14,12,52,29,39,711,23.68,11.213571428571427
324,8554.870000000004,150,76,1173,179,48,711,907.8999999999996,57.03246666666669
325,2850.5800000000004,75,55,757,139,71,698,1100.6,38.00773333333334
326,739.72,26,17,123,56,108,711,169.91,28.450769230769232
327,226.71,27,17,99,49,62,671,46.60000000000001,8.396666666666667
328,17332.129999999986,239,90,2054,229,66,708,1937.1600000000003,72.51937238493718
329,3026.710000000001,146,88,586,138,79,706,253.54,20.73089041095891
330,1679.3799999999999,189,65,335,106,83,686,246.39999999999998,8.885608465608465
331,1273.2999999999997,65,39,294,98,112,691,155.56,19.589230769230767
332,5519.020000000001,118,73,1419,185,7,707,1196.9799999999998,46.7713559322034
333,1248.81,39,30,303,98,49,678,372.41999999999996,32.02076923076923
334,4827.8,466,90,984,154,28,711,1439.2299999999996,10.360085836909871
335,2822.1800000000017,147,74,475,130,27,706,239.00000000000003,19.198503401360554
336,3089.7400000000007,120,47,448,118,111,687,346.95,25.74783333333334
337,933.5899999999999,61,43,172,52,78,699,302.94,15.304754098360654
338,2690.9700000000007,154,64,563,142,153,709,535.4400000000002,17.473831168831172
339,1668.92,67,48,529,117,90,696,619.0799999999999,24.909253731343284
340,1057.56,29,19,273,91,8,627,212.16999999999996,36.46758620689655
341,393.5000000000001,30,23,140,48,106,637,102.33,13.11666666666667
342,2125.51,48,35,544,116,101,703,432.78999999999996,44.28145833333334
343,1650.6400000000003,67,54,347,108,4,705,230.20999999999998,24.636417910447765
344,2237.91,48,36,497,137,92,711,375.46,46.623124999999995
345,5741.079999999999,182,92,1344,165,27,711,1744.63,31.5443956043956
346,5351.4100000000035,124,75,541,127,87,706,893.4999999999999,43.156532258064544
347,540.76,15,11,106,61,3,669,51.22999999999999,36.050666666666665
348,2961.830000000001,126,44,760,137,112,709,653.0499999999998,23.50658730158731
349,869.1600000000001,34,26,235,97,103,706,123.57000000000002,25.56352941176471
350,3083.2500000000005,103,62,473,140,21,710,288.24,29.93446601941748
351,7659.6700000000055,296,86,909,162,94,709,1694.4099999999999,25.877263513513533
352,178.7,6,5,53,35,86,694,16.97,29.78333333333333
353,3799.200000000002,125,63,863,186,118,700,575.98,30.393600000000017
354,8729.87000000001,157,81,1601,181,83,709,1420.1499999999999,55.60426751592363
355,340.34000000000003,7,5,66,36,81,371,69.52000000000001,48.620000000000005
356,2837.330000000001,234,68,393,102,85,707,281.53000000000003,12.125341880341884
357,1704.2700000000002,22,20,537,116,103,696,547.52,77.4668181818182
358,12729.340000000017,371,85,1749,204,89,711,1528.7299999999996,34.31088948787067
359,172.85000000000005,2,2,70,45,34,54,29.680000000000003,86.42500000000003
360,447.6,37,27,163,71,105,710,67.69,12.097297297297297
361,8747.100000000002,217,92,1613,206,4,711,2050.3499999999995,40.30921658986176
362,2987.4900000000007,91,78,543,121,13,706,433.85999999999996,32.829560439560446
363,52.400000000000006,4,4,22,14,94,581,26.48,13.100000000000001
364,2566.9200000000005,86,57,592,119,4,705,533.0699999999999,29.84790697674419
365,7048.430000000003,170,83,714,156,9,697,936.0400000000002,41.461352941176486
366,615.78,48,33,261,78,82,675,190.58,12.82875
367,7186.370000000004,114,88,1102,173,30,708,2705.140000000001,63.03833333333337
368,1346.4600000000003,53,35,232,90,21,693,238.52,25.404905660377363
369,1034.9500000000003,35,25,298,96,76,709,149.77999999999997,29.570000000000007
370,3386.7800000000007,133,42,646,149,77,556,516.8100000000001,25.464511278195495
371,15716.539999999997,161,87,2079,206,62,711,2735.8800000000015,97.6182608695652
372,440.4200000000001,10,9,147,57,8,496,103.62,44.04200000000001
373,96.91000000000001,13,11,42,26,108,708,18.48,7.454615384615385
374,7099.560000000007,163,81,869,167,33,705,724.34,43.55558282208593
375,203.94000000000003,24,23,58,35,95,696,76.99,8.4975
376,4714.620000000004,493,93,746,140,62,710,638.7800000000002,9.56312373225153
377,3166.4500000000016,133,70,628,128,101,711,580.3700000000001,23.80789473684212
378,4715.420000000002,325,94,704,157,61,708,670.7699999999999,14.508984615384621
379,55.64,2,2,24,10,118,707,6.38,27.82
380,7726.440000000006,129,86,999,130,94,711,1562.0899999999997,59.89488372093028
381,3120.7900000000004,93,60,782,160,5,699,472.3399999999999,33.55688172043011
382,694.7,34,24,145,76,55,675,70.71,20.43235294117647
383,5763.440000000004,150,77,629,144,75,693,917.2499999999999,38.42293333333336
384,3914.8400000000015,80,54,777,156,105,706,577.1999999999999,48.93550000000002
385,2929.7200000000003,41,28,562,129,36,701,551.0199999999999,71.45658536585367
386,4676.430000000002,281,80,1174,160,39,710,1263.7100000000003,16.64209964412812
387,5697.250000000004,131,64,928,172,97,704,782.0199999999999,43.4904580152672
